"","V1"
"2015",43
"2016",54
"2017",136
"2018",31
"2019",39
"2020",213
"2021",18
"2022",230
"2023",354
"2024",214
"2025",188
"2026",24
"2027",640
"2028",48
"2029",30
"2030",229
"2031",193
"2032",14
"2033",135
"2034",51
"2035",12
"2036",45
"2037",75
"2038",107
"2039",1143
"2040",20
"2041",72
"2042",193
"2043",55
"2044",73
"2045",12
"2046",34
"2047",54
"2048",16
"2049",84
"2050",75
"2051",81
"2052",18
"2053",217
"2054",75
"2055",87
"2056",126
"2057",178
"2058",132
"2059",108
"2060",388
"2061",10
"2062",85
"2063",46
"2064",79
"2065",29
"2066",58
"2067",8
"2068",91
"2069",NA
"2070",112
"2071",153
"2072",98
"2073",40
"2074",61
"2075",38
"2076",879
"2077",23
"2078",66
"2079",45
"2080",29
"2081",134
"2082",50
"2083",120
"2084",36
"2085",15
"2086",18
"2087",116
"2088",64
"2089",76
"2090",27
"2091",72
"2092",44
"2093",28
"2094",79
"2095",388
"2096",12
"2097",629
"2098",75
"2099",104
"2100",76
"2101",45
"2102",107
"2103",25
"2104",12
"2105",50
"2106",57
"2107",195
"2108",36
"2109",188
"2110",127
"2111",15
"2112",192
"2113",15
"2114",64
"2115",72
"2116",15
"2117",39
"2118",117
"2119",1084
"2120",26
"2121",69
"2122",126
"2123",156
"2124",982
"2125",109
"2126",161
"2127",37
"2128",179
"2129",26
"2130",135
"2131",69
"2132",29
"2133",28
"2134",483
"2135",99
"2136",13
"2137",81
"2138",12
"2139",29
"2140",75
"2141",32
"2142",46
"2143",231
"2144",41
"2145",18
"2146",11
"2147",86
"2148",74
"2149",34
"2150",237
"2151",114
"2152",67
"2153",59
"2154",212
"2155",79
"2156",127
"2157",119
"2158",42
"2159",14
"2160",37
"2161",14
"2162",74
"2163",472
"2164",27
"2165",88
"2166",35
"2167",104
"2168",195
"2169",97
"2170",44
"2171",26
"2172",110
"2173",32
"2174",34
"2175",20
"2176",150
"2177",15
"2178",124
"2179",36
"2180",302
"2181",19
"2182",47
"2183",53
"2184",58
"2185",131
"2186",112
"2187",432
"2188",266
"2189",16
"2190",119
"2191",62
"2192",10
"2193",53
"2194",15
"2195",21
"2196",19
"2197",10
"2198",244
"2199",67
"2200",70
"2201",440
"2202",124
"2203",51
"2204",63
"2205",222
"2206",19
"2207",30
"2208",25
"2209",189
"2210",10
"2211",46
"2212",70
"2213",8
"2214",224
"2215",51
"2216",80
"2217",85
"2218",105
"2219",70
"2220",182
"2221",22
"2222",13
"2223",345
"2224",967
"2225",18
"2226",15
"2227",33
"2228",200
"2229",14
"2230",15
"2231",49
"2232",84
"2233",45
"2234",59
"2235",34
"2236",34
"2237",77
"2238",27
"2239",231
"2240",176
"2241",125
"2242",52
"2243",31
"2244",53
"2245",135
"2246",121
"2247",49
"2248",126
"2249",48
"2250",43
"2251",65
"2252",62
"2253",40
"2254",201
"2255",72
"2256",321
"2257",18
"2258",41
"2259",104
"2260",47
"2261",97
"2262",42
"2263",114
"2264",32
"2265",36
"2266",541
"2267",149
"2268",137
"2269",67
"2270",78
"2271",21
"2272",58
"2273",32
"2274",120
"2275",168
"2276",39
"2277",33
"2278",130
"2279",160
"2280",71
"2281",93
"2282",23
"2283",130
"2284",68
"2285",127
"2286",266
"2287",64
"2288",145
"2289",29
"2290",51
"2291",15
"2292",73
"2293",81
"2294",11
"2295",40
"2296",43
"2297",28
"2298",93
"2299",32
"2300",99
"2301",82
"2302",45
"2303",305
"2304",78
"2305",425
"2306",552
"2307",50
"2308",37
"2309",91
"2310",106
"2311",247
"2312",70
"2313",62
"2314",104
"2315",347
"2316",17
"2317",11
"2318",211
"2319",107
"2320",212
"2321",27
"2322",54
"2323",302
"2324",49
"2325",44
"2326",31
"2327",169
"2328",59
"2329",25
"2330",334
"2331",47
"2332",88
"2333",48
"2334",67
"2335",86
"2336",26
"2337",21
"2338",38
"2339",74
"2340",31
"2341",17
"2342",64
"2343",87
"2344",361
"2345",25
"2346",21
"2347",34
"2348",118
"2349",125
"2350",174
"2351",39
"2352",31
"2353",362
"2354",32
"2355",562
"2356",21
"2357",93
"2358",83
"2359",9
"2360",368
"2361",145
"2362",52
"2363",51
"2364",130
"2365",24
"2366",38
"2367",50
"2368",27
"2369",152
"2370",38
"2371",205
"2372",27
"2373",377
"2374",69
"2375",149
"2376",200
"2377",145
"2378",63
"2379",37
"2380",NA
"2381",73
"2382",18
"2383",17
"2384",56
"2385",103
"2386",22
"2387",23
"2388",80
"2389",74
"2390",52
"2391",12
"2392",NA
"2393",31
"2394",118
"2395",18
"2396",75
"2397",50
"2398",33
"2399",51
"2400",169
"2401",45
"2402",75
"2403",107
"2404",47
"2405",57
"2406",14
"2407",234
"2408",84
"2409",170
"2410",61
"2411",133
"2412",49
"2413",61
"2414",24
"2415",215
"2416",173
"2417",70
"2418",179
"2419",124
"2420",27
"2421",45
"2422",54
"2423",23
"2424",64
"2425",31
"2426",25
"2427",368
"2428",30
"2429",33
"2430",323
"2431",29
"2432",190
"2433",91
"2434",19
"2435",52
"2436",62
"2437",25
"2438",54
"2439",24
"2440",86
"2441",242
"2442",30
"2443",191
"2444",0
"2445",109
"2446",19
"2447",1171
"2448",71
"2449",51
"2450",113
"2451",79
"2452",130
"2453",24
"2454",62
"2455",415
"2456",61
"2457",274
"2458",86
"2459",391
"2460",222
"2461",416
"2462",184
"2463",209
"2464",40
"2465",145
"2466",38
"2467",225
"2468",178
"2469",28
"2470",290
"2471",13
"2472",164
"2473",257
"2474",23
"2475",17
"2476",131
"2477",42
"2478",17
"2479",28
"2480",56
"2481",26
"2482",13
"2483",33
"2484",57
"2485",22
"2486",71
"2487",89
"2488",157
"2489",427
"2490",71
